552,CO_DE,FD-2342,Front Derailleur,41,n/a,2013-07-01,NULL,2026-05-13 14:44:59.0866667
501,CO_DE,RD-2308,Rear Derailleur,54,n/a,2013-07-01,NULL,2026-05-13 14:44:59.0866667
391,CO_FO,FK-1639,LL Fork,66,n/a,2012-07-01,NULL,2026-05-13 14:44:59.0866667
392,CO_FO,FK-5136,ML Fork,78,n/a,2012-07-01,NULL,2026-05-13 14:44:59.0866667
393,CO_FO,FK-9939,HL Fork,102,n/a,2012-07-01,NULL,2026-05-13 14:44:59.0866667
397,CO_HB,HB-M243,LL Mountain Handlebars,18,Mountain,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
398,CO_HB,HB-M243,LL Mountain Handlebars,20,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
399,CO_HB,HB-M763,ML Mountain Handlebars,25,Mountain,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
400,CO_HB,HB-M763,ML Mountain Handlebars,27,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
401,CO_HB,HB-M918,HL Mountain Handlebars,49,Mountain,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
402,CO_HB,HB-M918,HL Mountain Handlebars,53,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
403,CO_HB,HB-R504,LL Road Handlebars,18,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
404,CO_HB,HB-R504,LL Road Handlebars,20,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
405,CO_HB,HB-R720,ML Road Handlebars,25,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
406,CO_HB,HB-R720,ML Road Handlebars,27,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
407,CO_HB,HB-R956,HL Road Handlebars,49,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
408,CO_HB,HB-R956,HL Road Handlebars,53,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
553,CO_HB,HB-T721,LL Touring Handlebars,20,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
554,CO_HB,HB-T928,HL Touring Handlebars,41,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
394,CO_HS,HS-0296,LL Headset,15,n/a,2012-07-01,NULL,2026-05-13 14:44:59.0866667
395,CO_HS,HS-2451,ML Headset,45,n/a,2012-07-01,NULL,2026-05-13 14:44:59.0866667
396,CO_HS,HS-3479,HL Headset,55,n/a,2012-07-01,NULL,2026-05-13 14:44:59.0866667
550,CO_MF,FR-M21B-40,LL Mountain Frame - Black- 40,137,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
531,CO_MF,FR-M21B-42,LL Mountain Frame - Black- 42,137,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
532,CO_MF,FR-M21B-44,LL Mountain Frame - Black- 44,137,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
533,CO_MF,FR-M21B-48,LL Mountain Frame - Black- 48,137,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
534,CO_MF,FR-M21B-52,LL Mountain Frame - Black- 52,137,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
551,CO_MF,FR-M21S-40,LL Mountain Frame - Silver- 40,145,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
524,CO_MF,FR-M21S-42,LL Mountain Frame - Silver- 42,145,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
525,CO_MF,FR-M21S-44,LL Mountain Frame - Silver- 44,145,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
526,CO_MF,FR-M21S-48,LL Mountain Frame - Silver- 48,145,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
527,CO_MF,FR-M21S-52,LL Mountain Frame - Silver- 52,145,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
409,CO_MF,FR-M63B-38,ML Mountain Frame - Black- 38,186,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
426,CO_MF,FR-M63B-40,ML Mountain Frame - Black- 40,186,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
427,CO_MF,FR-M63B-44,ML Mountain Frame - Black- 44,186,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
428,CO_MF,FR-M63B-48,ML Mountain Frame - Black- 48,186,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
549,CO_MF,FR-M63S-38,ML Mountain Frame-W - Silver- 38,199,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
511,CO_MF,FR-M63S-40,ML Mountain Frame-W - Silver- 40,199,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
512,CO_MF,FR-M63S-42,ML Mountain Frame-W - Silver- 42,199,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
513,CO_MF,FR-M63S-46,ML Mountain Frame-W - Silver- 46,199,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
304,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,617,Mountain,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
305,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,654,Mountain,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
306,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,739,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
296,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,617,Mountain,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
297,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,654,Mountain,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
298,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,739,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
299,CO_MF,FR-M94B-44,HL Mountain Frame - Black- 44,699,Mountain,2011-07-01,NULL,2026-05-13 14:44:59.0866667
301,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,617,Mountain,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
302,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,654,Mountain,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
303,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,739,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
300,CO_MF,FR-M94B-48,HL Mountain Frame - Black- 48,699,Mountain,2011-07-01,NULL,2026-05-13 14:44:59.0866667
307,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,624,Mountain,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
308,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,661,Mountain,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
309,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,747,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
288,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,624,Mountain,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
289,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,661,Mountain,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
290,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,747,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
291,CO_MF,FR-M94S-44,HL Mountain Frame - Silver- 44,707,Mountain,2011-07-01,NULL,2026-05-13 14:44:59.0866667
293,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,624,Mountain,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
294,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,661,Mountain,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
295,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,747,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
292,CO_MF,FR-M94S-52,HL Mountain Frame - Silver- 48,707,Mountain,2011-07-01,NULL,2026-05-13 14:44:59.0866667
542,CO_PE,PD-M282,LL Mountain Pedal,18,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
543,CO_PE,PD-M340,ML Mountain Pedal,28,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
544,CO_PE,PD-M562,HL Mountain Pedal,36,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
545,CO_PE,PD-R347,LL Road Pedal,18,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
546,CO_PE,PD-R563,ML Road Pedal,28,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
547,CO_PE,PD-R853,HL Road Pedal,36,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
548,CO_PE,PD-T852,Touring Pedal,36,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
279,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,176,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
280,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,170,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
281,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,205,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
282,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,176,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
283,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,170,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
284,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,205,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
285,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,176,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
286,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,170,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
287,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,205,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
253,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,176,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
254,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,170,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
255,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,205,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
256,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,176,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
257,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,170,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
258,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,205,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
259,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,176,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
260,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,170,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
261,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,205,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
262,CO_RF,FR-R38R-44,LL Road Frame - Red- 44,181,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
263,CO_RF,FR-R38R-44,LL Road Frame - Red- 44,187,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
264,CO_RF,FR-R38R-48,LL Road Frame - Red- 48,181,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
265,CO_RF,FR-R38R-48,LL Road Frame - Red- 48,187,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
266,CO_RF,FR-R38R-52,LL Road Frame - Red- 52,181,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
267,CO_RF,FR-R38R-52,LL Road Frame - Red- 52,187,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
268,CO_RF,FR-R38R-58,LL Road Frame - Red- 58,181,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
269,CO_RF,FR-R38R-58,LL Road Frame - Red- 58,187,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
270,CO_RF,FR-R38R-60,LL Road Frame - Red- 60,181,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
271,CO_RF,FR-R38R-60,LL Road Frame - Red- 60,187,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
272,CO_RF,FR-R38R-62,LL Road Frame - Red- 62,181,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
273,CO_RF,FR-R38R-62,LL Road Frame - Red- 62,187,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
274,CO_RF,FR-R72R-44,ML Road Frame - Red- 44,352,Road,2011-07-01,NULL,2026-05-13 14:44:59.0866667
275,CO_RF,FR-R72R-48,ML Road Frame - Red- 48,352,Road,2011-07-01,NULL,2026-05-13 14:44:59.0866667
276,CO_RF,FR-R72R-52,ML Road Frame - Red- 52,352,Road,2011-07-01,NULL,2026-05-13 14:44:59.0866667
277,CO_RF,FR-R72R-58,ML Road Frame - Red- 58,352,Road,2011-07-01,NULL,2026-05-13 14:44:59.0866667
278,CO_RF,FR-R72R-60,ML Road Frame - Red- 60,352,Road,2011-07-01,NULL,2026-05-13 14:44:59.0866667
417,CO_RF,FR-R72Y-38,ML Road Frame-W - Yellow- 38,300,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
418,CO_RF,FR-R72Y-38,ML Road Frame-W - Yellow- 38,361,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
429,CO_RF,FR-R72Y-40,ML Road Frame-W - Yellow- 40,300,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
430,CO_RF,FR-R72Y-40,ML Road Frame-W - Yellow- 40,361,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
431,CO_RF,FR-R72Y-42,ML Road Frame-W - Yellow- 42,300,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
432,CO_RF,FR-R72Y-42,ML Road Frame-W - Yellow- 42,361,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
433,CO_RF,FR-R72Y-44,ML Road Frame-W - Yellow- 44,300,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
434,CO_RF,FR-R72Y-44,ML Road Frame-W - Yellow- 44,361,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
435,CO_RF,FR-R72Y-48,ML Road Frame-W - Yellow- 48,300,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
436,CO_RF,FR-R72Y-48,ML Road Frame-W - Yellow- 48,361,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
439,CO_RF,FR-R92B-44,HL Road Frame - Black- 44,722,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
440,CO_RF,FR-R92B-44,HL Road Frame - Black- 44,869,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
441,CO_RF,FR-R92B-48,HL Road Frame - Black- 48,722,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
442,CO_RF,FR-R92B-48,HL Road Frame - Black- 48,869,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
443,CO_RF,FR-R92B-52,HL Road Frame - Black- 52,722,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
444,CO_RF,FR-R92B-52,HL Road Frame - Black- 52,869,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
210,CO_RF,FR-R92B-58,HL Road Frame - Black- 58,0,Road,2003-07-01,NULL,2026-05-13 14:44:59.0866667
437,CO_RF,FR-R92B-62,HL Road Frame - Black- 62,722,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
438,CO_RF,FR-R92B-62,HL Road Frame - Black- 62,869,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
241,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,748,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
242,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,722,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
243,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,869,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
244,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,748,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
245,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,722,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
246,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,869,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
247,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,748,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
248,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,722,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
249,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,869,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
250,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,748,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
251,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,722,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
252,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,869,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
211,CO_RF,FR-R92R-58,HL Road Frame - Red- 58,0,Road,2003-07-01,NULL,2026-05-13 14:44:59.0866667
238,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,748,Road,2011-07-01,2012-06-30,2026-05-13 14:44:59.0866667
239,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,722,Road,2012-07-01,2013-06-30,2026-05-13 14:44:59.0866667
240,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,869,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
515,CO_SA,SE-M236,LL Mountain Seat/Saddle,12,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
516,CO_SA,SE-M798,ML Mountain Seat/Saddle,17,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
517,CO_SA,SE-M940,HL Mountain Seat/Saddle,23,Mountain,2013-07-01,NULL,2026-05-13 14:44:59.0866667
518,CO_SA,SE-R581,LL Road Seat/Saddle,12,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
519,CO_SA,SE-R908,ML Road Seat/Saddle,17,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
520,CO_SA,SE-R995,HL Road Seat/Saddle,23,Road,2013-07-01,NULL,2026-05-13 14:44:59.0866667
521,CO_SA,SE-T312,LL Touring Seat/Saddle,12,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
522,CO_SA,SE-T762,ML Touring Seat/Saddle,17,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
523,CO_SA,SE-T924,HL Touring Seat/Saddle,23,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
510,CO_TF,FR-T67U-44,LL Touring Frame - Blue- 44,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
502,CO_TF,FR-T67U-50,LL Touring Frame - Blue- 50,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
503,CO_TF,FR-T67U-54,LL Touring Frame - Blue- 54,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
504,CO_TF,FR-T67U-58,LL Touring Frame - Blue- 58,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
505,CO_TF,FR-T67U-62,LL Touring Frame - Blue- 62,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
506,CO_TF,FR-T67Y-44,LL Touring Frame - Yellow- 44,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
507,CO_TF,FR-T67Y-50,LL Touring Frame - Yellow- 50,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
508,CO_TF,FR-T67Y-54,LL Touring Frame - Yellow- 54,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
509,CO_TF,FR-T67Y-58,LL Touring Frame - Yellow- 58,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
493,CO_TF,FR-T67Y-62,LL Touring Frame - Yellow- 62,200,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
497,CO_TF,FR-T98U-46,HL Touring Frame - Blue- 46,602,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
498,CO_TF,FR-T98U-50,HL Touring Frame - Blue- 50,602,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
499,CO_TF,FR-T98U-54,HL Touring Frame - Blue- 54,602,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
500,CO_TF,FR-T98U-60,HL Touring Frame - Blue- 60,602,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
494,CO_TF,FR-T98Y-46,HL Touring Frame - Yellow- 46,602,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
495,CO_TF,FR-T98Y-50,HL Touring Frame - Yellow- 50,602,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
496,CO_TF,FR-T98Y-54,HL Touring Frame - Yellow- 54,602,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
492,CO_TF,FR-T98Y-60,HL Touring Frame - Yellow- 60,602,Touring,2013-07-01,NULL,2026-05-13 14:44:59.0866667
410,CO_WH,FW-M423,LL Mountain Front Wheel,27,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
411,CO_WH,FW-M762,ML Mountain Front Wheel,93,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
412,CO_WH,FW-M928,HL Mountain Front Wheel,133,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
413,CO_WH,FW-R623,LL Road Front Wheel,38,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
414,CO_WH,FW-R762,ML Road Front Wheel,110,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
415,CO_WH,FW-R820,HL Road Front Wheel,147,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
416,CO_WH,FW-T905,Touring Front Wheel,97,Touring,2012-07-01,NULL,2026-05-13 14:44:59.0866667
419,CO_WH,RW-M423,LL Mountain Rear Wheel,39,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
420,CO_WH,RW-M762,ML Mountain Rear Wheel,105,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
421,CO_WH,RW-M928,HL Mountain Rear Wheel,145,Mountain,2012-07-01,NULL,2026-05-13 14:44:59.0866667
422,CO_WH,RW-R623,LL Road Rear Wheel,50,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
423,CO_WH,RW-R762,ML Road Rear Wheel,122,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
424,CO_WH,RW-R820,HL Road Rear Wheel,159,Road,2012-07-01,NULL,2026-05-13 14:44:59.0866667
425,CO_WH,RW-T905,Touring Rear Wheel,109,Touring,2012-07-01,NULL,2026-05-13 14:44:59.0866667
